epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,12947.2,0.93825,0.57616,1.09248,0.64443,0.52476,0.54469,0.32477,2.15048,2.69628,1.91151,0.000226497,0.000226497,0.000226497
104,13073.3,0.927,0.57122,1.08496,0.63745,0.52187,0.53302,0.32176,2.17326,2.80085,1.95294,0.000214707,0.000214707,0.000214707
105,13199.6,0.93441,0.57557,1.08717,0.63128,0.52519,0.53873,0.32287,2.18171,2.74962,1.96243,0.000202918,0.000202918,0.000202918
106,13324.5,0.93335,0.57741,1.09097,0.66292,0.5114,0.53969,0.32271,2.19871,2.81603,1.99173,0.000191129,0.000191129,0.000191129
107,13450.9,0.92485,0.56836,1.08844,0.67985,0.50612,0.53712,0.32331,2.20677,2.86218,1.99667,0.00017934,0.00017934,0.00017934
108,13577.2,0.92303,0.56107,1.08529,0.67061,0.51225,0.5416,0.32467,2.22018,2.82303,1.99069,0.00016755,0.00016755,0.00016755
109,13701.6,0.91378,0.5555,1.07907,0.67619,0.51427,0.54322,0.32653,2.19817,2.75225,1.97499,0.000155761,0.000155761,0.000155761
110,13828.3,0.90922,0.55965,1.08088,0.68279,0.50999,0.53992,0.32499,2.18019,2.79297,1.96098,0.000143972,0.000143972,0.000143972
111,13952.9,0.86025,0.47228,1.04553,0.66055,0.51652,0.53355,0.32172,2.20206,2.8211,1.9984,0.000132183,0.000132183,0.000132183
112,120.667,0.90076,0.54917,1.07509,0.66548,0.52489,0.5398,0.3239,2.21794,2.77659,1.99392,0.000120393,0.000120393,0.000120393
113,242.367,0.89922,0.54747,1.07207,0.6255,0.53773,0.53838,0.32303,2.23209,2.72015,2.00332,0.000108604,0.000108604,0.000108604
114,363.803,0.89052,0.54289,1.06729,0.67645,0.5131,0.53768,0.32357,2.21982,2.68784,1.98986,9.68148e-05,9.68148e-05,9.68148e-05
115,489.213,0.8858,0.53677,1.06858,0.69663,0.51379,0.54313,0.3233,2.21304,2.6468,1.98594,8.50255e-05,8.50255e-05,8.50255e-05
116,611.913,0.88989,0.54105,1.07137,0.68909,0.51208,0.53821,0.32238,2.20288,2.65009,1.98133,7.32362e-05,7.32362e-05,7.32362e-05
117,729.123,0.87919,0.53299,1.06358,0.67877,0.50835,0.5385,0.32238,2.20127,2.65766,1.98411,6.1447e-05,6.1447e-05,6.1447e-05
118,847.907,0.88252,0.53793,1.06461,0.68878,0.50553,0.53786,0.32372,2.20117,2.69149,1.98762,4.96578e-05,4.96578e-05,4.96578e-05
119,964.904,0.86575,0.52227,1.05923,0.69326,0.5056,0.53888,0.32479,2.19879,2.70189,1.98689,3.78685e-05,3.78685e-05,3.78685e-05
120,1081.42,0.88095,0.53495,1.0657,0.69347,0.50517,0.53857,0.32392,2.20689,2.70989,1.99499,2.60792e-05,2.60792e-05,2.60792e-05
